sample,assay,quadrant,total_seconds,success_count,frame_count,prop_success
20191120_1349_outbred-A-3_R_C,open_field,q1,600,17834,18000,0.9907777777777778
20191115_1642_14-1_R_B,novel_object,q1,600,17835,18000,0.9908333333333333
20191120_1401_outbred-A-4_L_C,novel_object,q1,600,17835,18000,0.9908333333333333
20191117_1111_84-2_R_B,novel_object,q1,600,17836,18000,0.9908888888888889
20191119_1316_11-2_R_C,novel_object,q3,600,17836,18000,0.9908888888888889
20191119_1427_30-1_R_C,open_field,q2,600,17836,18000,0.9908888888888889
20191121_1448_iCab_R_C,novel_object,q3,600,17836,18000,0.9908888888888889
20191120_1158_135-1_L_C,open_field,q4,600,17837,18000,0.9909444444444444
20191118_1129_40-1_R_B,open_field,q3,600,17838,18000,0.991
20191121_1307_outbred-system_R_C,open_field,q1,600,17839,18000,0.9910555555555556
20191119_1155_69-1_L_B,open_field,q4,600,17840,18000,0.9911111111111112
20191121_1448_iCab_R_C,novel_object,q4,600,17840,18000,0.9911111111111112
20191119_1432_13-2_L_C,novel_object,q1,600,17246,17400,0.9911494252873563
20191116_1355_33-1_L_B,novel_object,q2,600,17841,18000,0.9911666666666666
20191119_0949_117-2_R_B,novel_object,q2,600,17841,18000,0.9911666666666666
20191111_1527_5-1_L_A,novel_object,q3,600,17248,17400,0.991264367816092
20191115_1633_10-1_L_B,open_field,q4,600,17248,17400,0.991264367816092
20191114_1353_61-1_L_A,open_field,q1,600,17843,18000,0.9912777777777778
20191115_1024_72-1_R_A,open_field,q1,600,17844,18000,0.9913333333333333
20191115_1144_132-4-1_L_A,open_field,q1,600,17844,18000,0.9913333333333333
20191121_1200_outbred-2_L_C,novel_object,q4,600,17845,18000,0.9913888888888889
20191121_1200_outbred-2_L_C,open_field,q4,600,17845,18000,0.9913888888888889
20191115_1538_4-2_L_B,open_field,q2,600,16657,16800,0.9914880952380952
20191116_1452_25-1_L_B,novel_object,q2,600,17847,18000,0.9915
20191112_1053_14-1_L_A,novel_object,q4,600,17253,17400,0.991551724137931
20191120_1319_138-1_R_C,open_field,q3,600,17849,18000,0.9916111111111111
20191118_1345_iCab_R_B,novel_object,q4,600,17850,18000,0.9916666666666667
20191120_1349_outbred-A-3_R_C,open_field,q3,600,17851,18000,0.9917222222222222
